date,region_id,region_name,lat,lon,primary_crop,climate_zone,temp_c,precip_mm,precip_30d_mm,precip_7d_mm,ndvi,month
2023-01-01,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,12.16,0.0,0.0,0.0,0.2607,2023-01
2023-01-02,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,10.28,0.0,0.0,0.0,0.2516,2023-01
2023-01-03,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,12.67,0.0,0.0,0.0,0.2538,2023-01
2023-01-04,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,15.33,0.0,0.0,0.0,0.2474,2023-01
2023-01-05,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,10.09,0.0,0.0,0.0,0.2486,2023-01
2023-01-06,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,10.13,5.82,5.82,5.82,0.2754,2023-01
2023-01-07,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,15.6,0.0,5.82,5.82,0.2618,2023-01
2023-01-08,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,13.21,0.0,5.82,5.82,0.2433,2023-01
2023-01-09,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,9.54,0.0,5.82,5.82,0.2574,2023-01
2023-01-10,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,12.62,0.0,5.82,5.82,0.2171,2023-01
2023-01-11,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,9.65,0.0,5.82,5.82,0.2449,2023-01
2023-01-12,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,9.7,0.0,5.82,5.82,0.2724,2023-01
2023-01-13,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,11.87,0.0,5.82,0.0,0.2311,2023-01
2023-01-14,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,5.46,0.0,5.82,0.0,0.2179,2023-01
2023-01-15,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,6.08,0.0,5.82,0.0,0.2211,2023-01
2023-01-16,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,9.62,0.0,5.82,0.0,0.2118,2023-01
2023-01-17,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,8.33,0.0,5.82,0.0,0.2174,2023-01
2023-01-18,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,12.37,1.71,7.53,1.71,0.2252,2023-01
2023-01-19,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,8.77,0.0,7.53,1.71,0.204,2023-01
2023-01-20,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,7.32,0.0,7.53,1.71,0.232,2023-01
2023-01-21,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,16.02,0.0,7.53,1.71,0.2494,2023-01
2023-01-22,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,11.02,0.0,7.53,1.71,0.2129,2023-01
2023-01-23,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,11.97,0.0,7.53,1.71,0.2611,2023-01
2023-01-24,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,7.56,0.0,7.53,1.71,0.2407,2023-01
2023-01-25,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,10.28,0.0,7.53,0.0,0.2509,2023-01
2023-01-26,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,12.32,0.0,7.53,0.0,0.217,2023-01
2023-01-27,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,8.61,0.0,7.53,0.0,0.2472,2023-01
2023-01-28,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,13.27,0.0,7.53,0.0,0.2082,2023-01
2023-01-29,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,10.43,0.0,7.53,0.0,0.2478,2023-01
2023-01-30,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,11.44,0.0,7.53,0.0,0.2335,2023-01
2023-01-31,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,10.59,0.0,7.53,0.0,0.2412,2023-01
2023-02-01,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,18.04,0.0,7.53,0.0,0.2067,2023-02
2023-02-02,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,12.53,0.0,7.53,0.0,0.2125,2023-02
2023-02-03,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,9.49,0.0,7.53,0.0,0.2426,2023-02
2023-02-04,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,15.22,3.27,10.79,3.27,0.2119,2023-02
2023-02-05,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,9.18,0.0,4.97,3.27,0.2404,2023-02
2023-02-06,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,13.57,0.0,4.97,3.27,0.2042,2023-02
2023-02-07,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,7.16,0.0,4.97,3.27,0.2489,2023-02
2023-02-08,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,9.15,0.0,4.97,3.27,0.2077,2023-02
2023-02-09,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,13.82,0.0,4.97,3.27,0.2439,2023-02
2023-02-10,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,15.55,0.0,4.97,3.27,0.2458,2023-02
2023-02-11,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,13.95,0.0,4.97,0.0,0.2199,2023-02
2023-02-12,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,13.19,0.0,4.97,0.0,0.2461,2023-02
2023-02-13,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,12.74,0.0,4.97,0.0,0.2403,2023-02
2023-02-14,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,9.31,0.0,4.97,0.0,0.2251,2023-02
2023-02-15,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,11.7,0.0,4.97,0.0,0.2164,2023-02
2023-02-16,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,12.58,0.0,4.97,0.0,0.1981,2023-02
2023-02-17,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,17.25,0.0,3.27,0.0,0.2452,2023-02
2023-02-18,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,15.22,0.0,3.27,0.0,0.2077,2023-02
2023-02-19,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,9.01,0.0,3.27,0.0,0.2418,2023-02
2023-02-20,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,15.38,0.0,3.27,0.0,0.2356,2023-02
2023-02-21,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,13.37,0.0,3.27,0.0,0.2554,2023-02
2023-02-22,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,12.61,0.0,3.27,0.0,0.2368,2023-02
2023-02-23,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,16.59,0.0,3.27,0.0,0.2374,2023-02
2023-02-24,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,17.96,0.0,3.27,0.0,0.2597,2023-02
2023-02-25,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,17.78,0.0,3.27,0.0,0.2529,2023-02
2023-02-26,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,12.59,0.0,3.27,0.0,0.2537,2023-02
2023-02-27,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,14.3,0.0,3.27,0.0,0.258,2023-02
2023-02-28,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,16.34,0.0,3.27,0.0,0.2192,2023-02
2023-03-01,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,18.4,0.0,3.27,0.0,0.2663,2023-03
2023-03-02,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,14.15,0.0,3.27,0.0,0.2648,2023-03
2023-03-03,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,15.16,0.0,3.27,0.0,0.2336,2023-03
2023-03-04,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,12.52,0.0,3.27,0.0,0.2504,2023-03
2023-03-05,CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,12.37,0.0,3.27,0.0,0.256,2023-03
