region_id,region_name,lat,lon,primary_crop,climate_zone,month,temp_mean_c,temp_min_c,temp_max_c,precip_total,precip_30d_avg,ndvi_mean,ndvi_min
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2023-01,8.26774193548387,-0.9,18.7,164.9,116.67096774193547,0.23392903225806452,0.2052
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2023-02,7.692857142857143,-0.9,19.0,123.7,81.55,0.23311071428571428,0.193
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2023-03,10.148387096774194,0.2,20.2,210.7,203.13225806451612,0.2800483870967742,0.2352
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2023-04,15.696666666666665,1.4,33.9,0.0,92.72333333333333,0.34614,0.304
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2023-05,20.990322580645163,8.0,36.9,9.3,8.554838709677421,0.41645806451612905,0.3781
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2023-06,23.92,13.2,41.3,10.2,8.416666666666666,0.42891999999999997,0.3813
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2023-07,31.509677419354837,15.6,45.7,0.0,2.170967741935484,0.4766580645161291,0.4416
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2023-08,29.083870967741937,17.5,43.1,18.4,7.148387096774193,0.5094645161290322,0.457
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2023-09,24.44333333333333,14.2,37.8,2.7,11.739999999999998,0.48105,0.44
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2023-10,19.364516129032257,5.2,35.6,3.0,3.119354838709675,0.4152967741935484,0.3578
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2023-11,12.833333333333334,1.1,26.0,13.0,8.179999999999998,0.3387333333333334,0.2914
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2023-12,10.293548387096775,0.8,24.2,68.4,26.55806451612903,0.27337419354838705,0.2287
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2024-01,9.041935483870969,-1.3,22.1,60.2,75.58709677419354,0.23392903225806452,0.2052
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2024-02,10.299999999999999,0.6,20.0,87.2,94.96551724137932,0.2337241379310345,0.193
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2024-03,12.448387096774193,4.2,24.7,84.5,74.07741935483871,0.2818774193548387,0.2352
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2024-04,15.5,2.3,30.1,55.4,61.75333333333334,0.3487,0.304
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2024-05,21.66774193548387,6.6,36.3,9.1,33.980645161290326,0.4176709677419355,0.3781
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2024-06,28.516666666666666,16.0,42.8,0.0,0.6066666666666667,0.42994,0.3813
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2024-07,33.15806451612904,17.6,47.7,0.0,0.0,0.4768,0.4416
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2024-08,29.69677419354839,15.7,44.8,0.0,0.0,0.5099935483870968,0.4613
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2024-09,26.51,12.8,42.2,0.0,0.0,0.47997666666666666,0.44
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2024-10,21.603225806451615,6.8,41.0,5.199999999999999,2.6451612903225805,0.41305161290322584,0.3578
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2024-11,11.446666666666665,1.3,22.8,55.9,18.8,0.33564333333333335,0.2789
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2024-12,9.358064516129033,1.0,18.8,33.6,51.51935483870968,0.27170645161290324,0.2272
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2025-01,8.44516129032258,-1.1,19.5,15.9,24.416129032258063,0.23392903225806452,0.2052
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2025-02,11.446428571428571,0.8,24.8,69.8,59.739285714285714,0.23311071428571428,0.193
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2025-03,12.506451612903225,3.5,29.4,106.1,80.6,0.2800483870967742,0.2352
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2025-04,17.816666666666666,3.9,31.1,7.0,53.88666666666667,0.34614,0.304
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2025-05,23.738709677419354,10.9,40.8,2.6,2.925806451612903,0.41645806451612905,0.3781
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2025-06,28.413333333333334,14.0,40.6,0.0,0.14666666666666667,0.42891999999999997,0.3813
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2025-07,29.551612903225806,17.3,42.6,0.0,0.0,0.4766580645161291,0.4416
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2025-08,30.596774193548388,18.5,42.7,0.0,0.0,0.5094645161290322,0.457
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2025-09,26.846666666666668,17.1,41.8,4.7,1.8066666666666664,0.48105,0.44
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2025-10,18.038709677419355,8.0,32.1,29.400000000000002,19.45483870967742,0.4152967741935484,0.3578
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2025-11,12.953333333333331,4.0,26.6,87.0,59.94666666666667,0.3387333333333334,0.2914
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2025-12,7.97741935483871,1.6,19.8,70.8,54.42580645161291,0.27337419354838705,0.2287
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2026-01,8.783870967741937,-0.6,17.6,34.9,84.48387096774194,0.23392903225806452,0.2052
CA-SJV,California Central Valley,36.7,-119.7,Almonds/Tomatoes,semi-arid,2026-02,11.276923076923076,1.1,23.4,77.19999999999999,34.33846153846153,0.2326653846153846,0.193
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2023-01,-6.958064516129032,-28.6,8.7,17.0,12.061290322580644,0.16085806451612902,0.1325
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2023-02,-6.196428571428571,-23.5,8.9,22.599999999999998,14.635714285714286,0.15284285714285714,0.1196
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2023-03,-1.8161290322580645,-16.2,13.1,36.9,33.23548387096774,0.19436129032258065,0.1596
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2023-04,4.67,-10.1,21.8,8.6,18.46333333333333,0.2637633333333333,0.2158
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2023-05,11.067741935483872,-4.3,24.7,61.6,34.59032258064516,0.3395032258064516,0.2794
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2023-06,15.42,0.2,29.9,14.6,42.02,0.35271,0.2974
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2023-07,22.161290322580644,7.1,34.6,2.1,4.751612903225807,0.39950967741935484,0.375
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2023-08,19.580645161290324,7.1,31.9,16.4,11.125806451612902,0.4278387096774193,0.3767
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2023-09,14.116666666666667,0.2,30.0,18.7,17.196666666666665,0.39918333333333333,0.3601
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2023-10,8.616129032258065,-8.6,23.4,6.0,12.729032258064517,0.33541612903225804,0.2656
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2023-11,0.68,-16.2,18.8,4.4,2.2066666666666666,0.2570633333333333,0.1948
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2023-12,-5.312903225806451,-20.1,9.1,17.3,11.009677419354839,0.1900193548387097,0.1488
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2024-01,-6.941935483870967,-27.6,7.2,8.3,14.729032258064517,0.16085806451612902,0.1325
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2024-02,-4.586206896551724,-20.6,11.4,30.4,24.16551724137931,0.15342068965517242,0.1196
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2024-03,-0.08064516129032255,-12.9,13.2,37.8,27.654838709677417,0.1958516129032258,0.1596
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2024-04,6.34,-7.3,22.5,8.0,21.976666666666667,0.26638666666666666,0.223
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2024-05,10.151612903225805,-4.2,26.0,30.700000000000003,24.86774193548387,0.340558064516129,0.2794
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2024-06,18.733333333333334,3.8,31.5,32.6,22.009999999999998,0.35475,0.2974
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2024-07,19.4,6.2,32.8,12.5,25.048387096774192,0.3999225806451613,0.375
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2024-08,18.3,6.8,32.0,43.8,32.1258064516129,0.4288387096774194,0.3767
CO-SLV,Colorado San Luis Valley,37.5,-106.0,Potatoes/Barley,high desert,2024-09,13.813333333333333,2.4,26.3,33.6,33.49666666666666,0.39705,0.3601
